nama_produk,harga_produk,toko,kota,terjual,rating
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.900,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,100+ terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,100+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,Seblak putra bandung,Kab. Bandung,250+ terjual,4.8
Seblak instant isi korean tteokbokki dan odeng,Rp16.900,dse_food,Kab. Bogor,,
Kylafood Seblak Rempah Autentik isi (20 pcs),Rp240.672,kylafood,Bandung,11 terjual,5.0
cuanki tahu kering seblak atau batagor kering isi 150 pcs,Rp34.000,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,Rp85.000,Central Seblak Nusantara,Tangerang Selatan,21 terjual,5.0
siomay mini kering 250 gram toping seblak baso aci,Rp8.000,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
snack kiloan kerupuk seblak pedas nagih 250 gram free bubble warp,Rp16.000,camilaNung,Bekasi,500+ terjual,4.8
SEBLAK INSTAN,Rp5.000,Griyo Seni,Kab. Sidoarjo,100+ terjual,4.5
KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI,Rp15.500,BociKakang,Jakarta Selatan,250+ terjual,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,3rb+ terjual,4.9
SEBLAK INSTAN TERMURAH,Rp3.500,Cemilan-Ce,Kab. Sidoarjo,100+ terjual,4.9
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
